Old Name,New Name
EN-RT-60-INDIA-KHANVERDICT-KHEIRA-060514.zip,EN-RT-INDIA_KHANVERDICTKHEIRA-060514.zip
EN-RT-60-INDIA-RICKSHAW-010915.zip,EN-RT-INDIA_RICKSHAW-010915.zip
EN-RT-60-INDIA-UNILEVER-040815.zip,EN-RT-INDIA_UNILEVER-040815.zip
EN-RT-60-INDONESIA-EXECUTIONS-KHEIRA-280415.zip,EN-RT-INDONESIA_EXECUTIONSKHEIRA-280415.zip
EN-RT-60-INDONESIASURVIVOR-SOCCERPORTUGAL-THOMAS-070715.zip,EN-RT-INDONESIA_SURVIVORSOCCERPORTUGALTHOMAS-070715.zip
EN-RT-60-IRAN-ATENA-SAKHR-200515.zip,EN-RT-IRAN_ATENASAKHR-200515.zip
EN-RT-60-IRAN-GRAFFITI-020915.zip,EN-RT-IRAN_GRAFFITI-020915.zip
EN-RT-60-IRAN-NUCLEARDEAL-DOHA-140715.zip,EN-RT-IRAN_NUCLEARDEALDOHA-140715.zip
EN-RT-60-IRAN-WORLDREACTION-030415.zip,EN-RT-IRAN_WORLDREACTION-030415.zip
EN-RT-60-IRAQ-BOMBMUSIC-SAKHR-300415.zip,EN-RT-IRAQ_BOMBMUSICSAKHR-300415.zip
EN-RT-60-IRELAND-GAYMARRIAGE-SAKHR-240515.zip,EN-RT-IRELAND_GAYMARRIAGESAKHR-240515.zip
EN-RT-60-ISIS-JAPANESEMEMES-TAREK-220115.zip,EN-RT-JAPAN_ISISESEMEMESTAREK-220115.zip
EN-RT-60-ISLAMAPHOBIA-AMERICANSNIPER-TAREK-190115.zip,EN-RT-ISLAMAPHOBIA_AMERICANSNIPERTAREK-190115.zip
EN-RT-60-ISLAMAPHOBIA-PEGIDAHITLER-TAREK-22015.zip,EN-RT-ISLAMAPHOBIA_PEGIDAHITLERTAREK-010115.zip
EN-RT-60-ISLAMOPHOBIA-CHAPELHILL-TAREK-110215.zip,EN-RT-ISLAMOPHOBIACHAPELHILLTAREK-110215.zip
EN-RT-60-ISRAEL-BEATING-SAKHR-150615.zip,EN-RT-ISRAEL_BEATINGSAKHR-150615.zip
EN-RT-60-ISRAEL-CHURCH-SAKHR-180615.zip,EN-RT-ISRAEL_CHURCHSAKHR-180615.zip
EN-RT-60-ISRAEL-ELALFOOD-SAKHR-010415.zip,EN-RT-ISRAEL_ELALFOODSAKHR-010415.zip
EN-RT-60-ISRAEL-ETHIOPIANS-SAKHR-040515.zip,EN-RT-ISRAEL_ETHIOPIANSSAKHR-040515.zip
EN-RT-60-ISRAEL-FLOTILLA-SAKHR-290615.zip,EN-RT-ISRAEL_FLOTILLASAKHR-290615.zip
EN-RT-60-ISRAEL-LAURYNHILL-SAKHR-050515.zip,EN-RT-ISRAEL_LAURYNHILLSAKHR-050515.zip
EN-RT-60-ISRAEL-MISSING-SAKHR-050415.zip,EN-RT-ISRAEL_MISSINGSAKHR-050415.zip
EN-RT-60-ISRAEL-NETANYAHUAPOLOGY-SAKHR-240315.zip,EN-RT-ISRAEL_NETANYAHUAPOLOGYSAKHR-240315.zip
EN-RT-60-ISRAEL-SETTLEMENTS-SAKHR-280715.zip,EN-RT-ISRAEL_SETTLEMENTSSAKHR-280715.zip
EN-RT-60-ISRAEL-UNRECOGNIZEDVILLAGES-SAKHR-310315.zip,EN-RT-ISRAEL_UNRECOGNIZEDVILLAGESSAKHR-310315.zip
EN-RT-60-ITALY-AFRICANMIGRANTSDROWNED-KHEIRA-150415.zip,EN-RT-ITALY_AFRICANMIGRANTSDROWNEDKHEIRA-150415.zip
EN-RT-60-JAPAN-EMOTIONROBOT-TABISH-230615.zip,EN-RT-JAPAN_EMOTIONROBOTTABISH-230615.zip
EN-RT-60-JAPAN-PROTEST-310815.zip,EN-RT-JAPAN_PROTEST-310815.zip
